timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732800282737,1369,HTTP Request,200,OK,JmeterScripttesting 1-70,text,true,,7496,208,79,79,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1369,0,478
1732800282853,1255,HTTP Request,200,OK,JmeterScripttesting 1-76,text,true,,7497,208,78,78,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1255,0,385
1732800282215,1896,HTTP Request,200,OK,JmeterScripttesting 1-44,text,true,,7501,208,77,77,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1895,0,947
1732800281592,2522,HTTP Request,200,OK,JmeterScripttesting 1-12,text,true,,7488,208,76,76,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2521,0,1596
1732800282794,1322,HTTP Request,200,OK,JmeterScripttesting 1-73,text,true,,7483,208,75,75,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1321,0,429
1732800282054,2065,HTTP Request,200,OK,JmeterScripttesting 1-36,text,true,,7500,208,75,75,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2063,0,1106
1732800281639,2483,HTTP Request,200,OK,JmeterScripttesting 1-15,text,true,,7496,208,74,74,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2483,0,1558
1732800283383,739,HTTP Request,200,OK,JmeterScripttesting 1-99,text,true,,7495,208,74,74,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,739,0,303
1732800282357,1768,HTTP Request,200,OK,JmeterScripttesting 1-51,text,true,,7486,208,72,72,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1767,0,782
1732800281596,2529,HTTP Request,200,OK,JmeterScripttesting 1-8,text,true,,7486,208,72,72,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2528,0,1568
1732800281678,2449,HTTP Request,200,OK,JmeterScripttesting 1-17,text,true,,7488,208,71,71,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2448,0,1466
1732800282755,1372,HTTP Request,200,OK,JmeterScripttesting 1-71,text,true,,7496,208,71,71,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1371,0,473
1732800282693,1434,HTTP Request,200,OK,JmeterScripttesting 1-68,text,true,,7496,208,71,71,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1434,0,509
1732800281615,2515,HTTP Request,200,OK,JmeterScripttesting 1-14,text,true,,7495,208,67,67,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,2514,0,1533
1732800282773,1362,HTTP Request,200,OK,JmeterScripttesting 1-72,text,true,,7484,208,67,67,https://automationexercise.com/login?%24%7Bemail%7D=abdulganiyufarouk89%40gmail.com&%24%7Bname%7D=Abdulganiyufarouk,1362,0,475
